scenario_id,family,generator_provider,pJ,pD,pJ_null,pD_null
F1-A-12,F1,anthropic,0.42565701352724705,0.5009421125642799,0.36830767953821253,0.40806308710325223
F1-A-12T,F1,anthropic,0.12884987052632682,0.37739430709822186,0.035450961460962035,0.20272901866750903
F1-A-22,F1,anthropic,0.038701529829725835,0.16642267070146965,0.012939020269293321,0.06166326666073815
F1-A-22T,F1,anthropic,0.2654268603663314,0.49666872867962086,0.19530525574164673,0.3972785011012141
F1-A-26,F1,anthropic,0.27033319308464043,0.32812759408922365,0.2827205042185513,0.22508835662538784
F1-A-28,F1,anthropic,0.043988307203506424,0.41557859830292043,0.006613737783233825,0.1254210426558236
F1-A-28T,F1,anthropic,0.283004903167909,0.7231757787805821,0.18819798555746142,0.031148588612055418
F1-A-32,F1,anthropic,0.1089115635578755,0.4805789637671799,0.22717738165725185,0.4206728067570057
F1-A-34,F1,anthropic,0.08776252543064542,0.23810308034067398,0.18541537356050958,0.371757161747712
F1-A-36T,F1,anthropic,0.21282163274006977,0.3657760093195387,0.2452364765673633,0.15149804505820103
F1-A-38,F1,anthropic,0.11085008601108125,0.5018915389879127,0.09860012316022272,0.22697067111024766
F1-B-15,F1,openai,0.16994617115606897,0.4663260033761879,0.06197713349897823,0.1578829380640453
F1-B-15T,F1,openai,0.9073321158137598,0.764050308634219,0.12321570293175271,0.5530137744853763
F1-B-17,F1,openai,0.01201712786910555,0.23702552752023898,0.04867324319798799,0.30382998567962305
F1-B-19,F1,openai,0.08801392012415116,0.6166296561422442,5.373932091489921e-05,0.006311546099773958
F1-B-21,F1,openai,0.17500887580887478,0.4509131877266659,0.16112473771245722,0.40607087874856684
F1-B-21T,F1,openai,0.16196284150603987,0.17139078095672644,0.13666267301955734,0.1311894039136649
F1-B-25,F1,openai,0.18884868569834642,0.3285309021357905,0.24589185006174788,0.2977750364085682
F1-B-31T,F1,openai,0.2857876698475782,0.670579180987616,0.1593861215279647,0.6372272795203519
F1-B-33,F1,openai,0.013306694490075271,0.431517309968088,0.007869016762098615,0.267880670506656
F1-B-33T,F1,openai,0.18000418238354254,0.4811573350443492,0.08750832148069833,0.10085541134715757
F1-B-37T,F1,openai,0.11745719761212162,0.2747353162696245,0.09548192836501966,0.2345245111262889
F1-B-39,F1,openai,0.04643735154643126,0.17963003345049183,0.028858960773427162,0.05954020144418758
F1-A-00,F1,anthropic,0.5082278029247927,0.5807580198960246,0.023866472771095486,0.1734484839740949
F1-A-00T,F1,anthropic,0.8970782697459342,0.7845899144421211,0.5111307564570196,0.6334402748787614
F1-A-06T,F1,anthropic,0.14712825077879257,0.17410866004507514,0.05550593371661797,0.22803117917843146
F1-A-10,F1,anthropic,0.1437627849974305,0.2776579945212716,0.1838134287019897,0.40040016358871366
F1-B-03T,F1,openai,0.5423975452340458,0.5940049206588915,0.28393400946453207,0.25241672412963856
F1-B-05,F1,openai,0.11671352899910015,0.26554007098426635,0.04025296310490241,0.09365729209923031
F1-B-09T,F1,openai,0.03759038896396998,0.19213687660694753,0.008822858530663705,0.13207834979850086
