panel,row,value_or_twin,ci_lo_or_primary,ci_hi,n
(a) mass twin -> primary,"base, acting p_D",0.3057779194734234,0.35428798660842653,,192
(a) mass twin -> primary,"base, judging p_J",0.2801298645052496,0.31057884126463237,,192
(a) mass twin -> primary,"instruct, acting p_D",0.1917207138388867,0.2769689473548,,192
(a) mass twin -> primary,"instruct, judging p_J",0.22374175207458977,0.2629588417761198,,192
(b) paired,"E, base",0.01806109037562037,0.011411744410624692,0.024585645687142266,192
(b) paired,"E, instruct",0.04603114381438328,0.024560375747424923,0.06858248398986218,192
(b) paired,ΔE = E_base − E_instruct,-0.02797005343876291,-0.04924675914641672,-0.006835634828188187,192
(b) paired,"acting side, base − instruct",-0.036738166380910126,-0.06234643254160036,-0.012140207710158704,192
(b) paired,"judging side, base − instruct",-0.008768112942147221,-0.022736708760149566,0.004406242052907842,192
(b) paired,"ΔE, binary readout",-0.011695906432748537,-0.07602339181286549,0.05263157894736842,171
